PZN;Artikelname;DF;PM;PE;Herstellerkürzel;Lager;Bestand;EK;EEK;AVK;VK;EVK;Preisaktion;AP;Kalkulationsmodell;AM;DC;MP;LM;KM
1433391;A Z KOMPLEX RATIOPHARM;TAB;100;St;RATIO;ja;5;22,02;15,12;19,95;32,50;19,95;;0,00;;nein;Nein;Nein;ja;Nein
1433379;A Z KOMPLEX RATIOPHARM;TAB;30;St;RATIO;ja;5;7,52;6,21;8,95;12,50;8,95;;0,00;;nein;Nein;Nein;ja;Nein
1033409;ABC WAE SEN HANSAPLAST MED;PFL;4;St;BEIER;ja;6;7,41;5,90;10,95;10,95;10,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
5388492;ABTEI BIOTIN 10MG;TAB;30;St;OMGPH;ja;1;7,06;6,05;6,95;7,09;6,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
16356294;ABTEI EX ZAFF POSITIVE STI;KAP;30;St;OMGPH;ja;1;21,55;0,00;28,59;28,59;0,00;;0,00;;nein;Nein;Nein;ja;Nein
4983407;ABTEI RINGELBLUMEN SALBE;SAL;100;ml;OMGPH;ja;1;4,15;3,52;4,99;5,19;4,99;;0,00;;nein;Nein;Nein;keine Angabe;Keine Angabe
6302311;ACC AKUT 200;BTA;20;St;HEXAL;ja;0;5,11;5,08;9,50;9,54;9,50;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6197481;ACC AKUT 600;BTA;10;St;HEXAL;ja;0;5,91;5,90;10,95;11,04;10,95;;0,00;VK/UVP (abgerundet auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
10808;ACC AKUT 600;BTA;20;St;HEXAL;ja;0;10,21;10,20;17,95;17,98;17,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6964615;ACC KINDERSAFT;LSE;100;ml;HEXAL;ja;1;3,67;1,87;6,95;7,08;6,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
16811166;ACCU CHECK GUIDE;TTR;50;St;PRISO;ja;1;16,99;16,76;29,95;0,00;29,95;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
3360532;ACCU CHEK AVIVA KONTROLL;LOE;1X2.5;ml;ROCH;ja;1;4,10;3,75;6,06;6,06;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
6114963;ACCU CHEK AVIVA PLASMA II;TTR;1X50;St;ROCH;ja;3;20,00;17,10;26,95;27,99;26,95;;0,00;Teststreifen;nein;Nein;Ja;nein, kein Lebensmittel;Nein
7234988;ACCU CHEK FASTCLIX LANZETT;LAN;204;St;ROCH;ja;1;18,82;13,39;28,45;28,45;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
11664909;ACCU CHEK GUIDE TESTSTREIF;TTR;1X50;St;ROCH;ja;1;17,00;0,00;22,95;25,99;22,95;;0,00;Teststreifen;nein;Nein;Ja;nein, kein Lebensmittel;Nein
16796165;ACCU CHEK INSTANT TESTSTRE;TTR;1X50;St;ROCH;ja;0;17,00;15,39;22,95;25,99;22,95;;0,00;Teststreifen;nein;Nein;Ja;nein, kein Lebensmittel;Nein
10270545;ACCU CHEK MOB TESTKASSETTE;TTR;50;St;ROCH;ja;5;26,02;20,69;34,95;36,50;34,95;;0,00;Teststreifen;nein;Nein;Ja;nein, kein Lebensmittel;Nein
6143663;ACCU CHEK SAFE T PRO UN II;LAN;200;St;ROCH;ja;16;19,90;14,95;29,90;29,90;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
8654310;ACIC CREME BEI LIPPENHERP;CRE;2;g;HEXAL;ja;4;2,81;1,65;4,95;5,41;4,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
2286360;ACICLOVIR RATIO LIPPENHERP;CRE;2;g;RATIO;ja;17;2,65;1,08;5,10;5,11;5,10;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
