PZN;Artikelname;DF;PM;PE;Herstellerkürzel;Lager;Bestand;EK;EEK;AVK;VK;EVK;Preisaktion;AP;Kalkulationsmodell;AM;DC;MP;LM;KM
1433391;A Z KOMPLEX RATIOPHARM;TAB;100;St;RATIO;ja;2;22,02;15,12;21,95;32,50;21,95;;0,00;;nein;Nein;Nein;ja;Nein
1433379;A Z KOMPLEX RATIOPHARM;TAB;30;St;RATIO;ja;4;7,52;6,90;12,50;12,50;12,50;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;ja;Nein
1033409;ABC WAE SEN HANSAPLAST MED;PFL;4;St;BEIER;ja;6;7,41;5,90;9,95;10,95;9,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
2295643;ABC WAERME HANSAPLAST MED;PFL;2;St;BEIER;ja;2;7,75;5,69;9,80;10,95;9,80;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
6302311;ACC AKUT 200;BTA;20;St;HEXAL;ja;0;5,11;5,08;9,50;9,54;9,50;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6197481;ACC AKUT 600;BTA;10;St;HEXAL;ja;0;5,91;5,90;10,95;11,04;10,95;;0,00;VK/UVP (abgerundet auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
10808;ACC AKUT 600;BTA;20;St;HEXAL;ja;0;10,21;10,16;17,95;17,98;17,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6964615;ACC KINDERSAFT;LSE;100;ml;HEXAL;ja;16;3,67;1,81;6,95;7,08;6,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6114963;ACCU CHEK AVIVA PLASMA II;TTR;1X50;St;ROCH;ja;13;20,00;17,10;26,95;27,99;26,95;;0,00;Thermacare;nein;Nein;Ja;nein, kein Lebensmittel;Nein
7234988;ACCU CHEK FASTCLIX LANZETT;LAN;204;St;ROCH;ja;1;18,82;13,48;28,45;28,45;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
11113658;ACCU CHEK FASTCLIX MOD II;;1;St;ROCH;ja;1;16,30;14,89;37,95;23,49;37,95;;0,00;BZ Geräte;nein;Nein;Ja;nein, kein Lebensmittel;Nein
11664909;ACCU CHEK GUIDE TESTSTREIF;TTR;1X50;St;ROCH;ja;34;17,00;15,39;22,95;25,99;22,95;;0,00;Thermacare;nein;Nein;Ja;nein, kein Lebensmittel;Nein
16796165;ACCU CHEK INSTANT TESTSTRE;TTR;1X50;St;ROCH;ja;8;17,00;15,39;25,99;25,99;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
10270545;ACCU CHEK MOB TESTKASSETTE;TTR;50;St;ROCH;ja;2;26,02;23,53;34,95;36,50;34,95;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
8654310;ACIC CREME BEI LIPPENHERP;CRE;2;g;HEXAL;ja;5;2,81;1,59;5,40;5,41;5,40;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6873114;ACICLOSTAD GEG LIPPENHERP;CRE;2;g;STAGM;ja;1;2,65;1,84;5,11;5,11;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
2286360;ACICLOVIR RATIO LIPPENHERP;CRE;2;g;RATIO;ja;17;2,65;1,08;4,95;5,11;4,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2263531;ACID LACTICUM;;100;ml;INTDR;ja;1;0,00;6,05;10,95;0,00;10,95;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Nein
1093937;ACIDUM SALICYL C VAS AL50%;;100;g;CAELO;ja;1;12,90;10,33;10,75;0,00;10,75;;0,00;;nein;Ja;Nein;keine Angabe;Nein
16351285;ACIMOL 500MG FILMTABLETTEN;FTA;96;St;PFLEG;ja;1;13,47;10,92;22,97;22,97;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
1448553;ACONIT OHRENTROPFEN;OHT;10;ml;WALA;ja;0;4,22;3,78;7,85;7,89;7,85;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
